PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,RA_FG_PCT,Paint_FGM,Paint_FGA,Paint_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left_Corner_FGM,Left_Corner_FGA,Left_Corner_FG_PCT,Right_Corner_FGM,Right_Corner_FGA,Right_Corner_FG_PCT,Above_Break_FGM,Above_Break_FGA,Above_Break_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
1628419,Cameron Oliver,1612709909,DEL,22.0,50,65,0.769,5,9,0.556,1.0,4.0,0.25,2.0,3.0,0.667,1.0,1.0,1.0,8,35,0.229,0.0,0.0,0.0
1629244,Cameron Reynolds,1612709914,STO,23.0,7,10,0.7,13,21,0.619,1.0,5.0,0.2,3.0,7.0,0.429,3.0,4.0,0.75,14,42,0.333,0.0,0.0,0.0
1629286,Cameron Rundles,1612709890,AUS,30.0,2,5,0.4,3,9,0.333,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3,14,0.214,0.0,0.0,0.0
1629191,Canyon Barry,1612709911,IWA,24.0,22,41,0.537,2,8,0.25,4.0,10.0,0.4,3.0,6.0,0.5,4.0,6.0,0.667,14,32,0.438,0.0,0.0,0.0
1627760,Cat Barber,1612709922,GBO,24.0,33,53,0.623,4,12,0.333,7.0,19.0,0.368,0.0,2.0,0.0,1.0,3.0,0.333,5,22,0.227,0.0,1.0,0.0
1628429,Charles Cooke,1612709904,SXF,24.0,15,25,0.6,10,24,0.417,3.0,7.0,0.429,2.0,7.0,0.286,1.0,8.0,0.125,6,21,0.286,0.0,0.0,0.0
1626184,Chasson Randle,1612709928,CAP,25.0,15,23,0.652,13,27,0.481,2.0,8.0,0.25,2.0,5.0,0.4,2.0,5.0,0.4,12,27,0.444,0.0,0.0,0.0
1629002,Chimezie Metu,1612709890,AUS,21.0,10,16,0.625,4,9,0.444,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
1627778,Chinanu Onuaku,1612709922,GBO,22.0,69,103,0.67,11,22,0.5,8.0,20.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3,17,0.176,0.0,0.0,0.0
1628449,Chris Boucher,1612709920,RAP,25.0,84,117,0.718,9,27,0.333,3.0,17.0,0.176,3.0,4.0,0.75,2.0,8.0,0.25,26,80,0.325,0.0,0.0,0.0
1629185,Chris Chiozza,1612709928,CAP,23.0,14,23,0.609,8,22,0.364,4.0,20.0,0.2,1.0,3.0,0.333,1.0,2.0,0.5,9,35,0.257,0.0,1.0,0.0
1626217,Chris Walker,1612709908,RGV,23.0,34,53,0.642,7,28,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
202874,Chris Wright,1612709889,OKL,30.0,32,50,0.64,1,5,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5,0.2,0.0,0.0,0.0
204024,Christian Watford,1612709920,RAP,27.0,3,5,0.6,2,6,0.333,1.0,3.0,0.333,3.0,8.0,0.375,2.0,4.0,0.5,16,52,0.308,0.0,0.0,0.0
