Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Raven Lee,1628843,SCW,25,5,11.3,1.7,2.6,0.9,10.4,41.583333333333336,3.5,0.308,5.2,0.333,1.7,1.7,1.0,4.3,2.6,0.0
Reggie Hearn,203687,GRD,26,26,13.9,2.6,5.4,1.8,16.3,846.5116666666667,5.9,0.421,6.9,0.368,2.0,2.4,0.842,1.3,0.8,0.2
Reggis Onwukamuche,1627352,LAK,26,47,4.2,0.0,9.4,1.2,4.7,586.685,1.8,0.435,0.0,0.0,1.0,2.6,0.372,1.6,1.1,1.3
Richard Amardi,1628608,RAP,28,12,12.1,1.4,6.6,1.0,13.1,181.03333333333333,5.2,0.426,5.0,0.28,1.4,2.0,0.7,2.0,1.6,0.2
Ricky Ledo,203495,WIS,25,17,15.5,2.5,6.9,3.1,16.3,575.4433333333334,6.1,0.391,7.6,0.328,1.7,1.8,0.964,2.0,1.8,0.1
Robert Heyer,1628246,SBL,26,39,7.0,1.8,6.1,1.9,9.4,781.4716666666667,3.5,0.497,4.3,0.426,0.5,0.7,0.733,1.3,1.3,0.1
Rodney McGruder,203585,SXF,26,2,24.0,0.8,8.0,1.6,21.6,44.916666666666664,10.4,0.433,8.8,0.091,0.0,0.8,0.0,0.0,0.8,0.0
Rodney Pryor,1628842,SXF,25,24,13.0,2.0,7.7,2.4,15.1,585.8183333333334,5.6,0.429,6.0,0.33,1.9,2.5,0.775,2.0,0.6,0.5
Rodney Purvis,1628681,LAK,24,39,16.8,2.9,3.7,3.2,19.3,1484.8216666666667,7.1,0.424,7.3,0.393,2.2,2.8,0.778,2.0,1.3,0.3
Roger Moute a Bidias,1628606,RAP,23,9,8.3,0.3,5.9,0.7,9.0,104.14833333333333,3.8,0.458,0.7,0.5,1.0,1.7,0.6,2.1,1.4,0.3
Ron Baker,1627758,WES,25,3,6.9,2.6,3.6,0.3,11.5,110.0,3.3,0.476,5.2,0.5,2.3,2.3,1.0,2.3,2.9,0.0
