index,Player,realgm ID,Gl 3Pmpg,Gl Astpg,Gl Fgapg,Gl Ptspg,Gl Rebpg,GLeague Clusters,Height,Weight
22,Shawn Long,/player/Shawn-Long/Summary/28798,0.3,1.9,18.3,24.7,13.6,High Usage Scoring Bigs,81,255
23,Wayne Selden,/player/Wayne-Selden/Summary/24687,2.5,3.3,17.6,21.4,5.6,Sweet-Shooting Bucket Getters,77,230
24,Xavier Munford,/player/Xavier-Munford/Summary/42842,1.6,5.7,15.1,19.4,4.8,Swiss Army Knives,74,180
25,Christian Wood,/player/Christian-Wood/Summary/41451,0.8,1,16.1,22.3,11.9,High Usage Scoring Bigs,83,220
26,Mickell Gladness,/player/Mickell-Gladness/Summary/11006,0,0.7,8.7,11.6,9.8,Low Usage Defenders,83,220
27,Mario West,/player/Mario-West/Summary/364,0.8,3.4,10.3,14.9,5.2,Low Usage Defenders,77,210
28,Dwight Buycks,/player/Dwight-Buycks/Summary/6158,1.7,4.7,17,20.2,4.6,Swiss Army Knives,75,190
29,Ricky Ledo,/player/Ricky-Ledo/Summary/24251,2,3.7,16.7,20.1,6.7,Swiss Army Knives,79,197
30,Bryce Dejean-Jones,/player/Bryce-Dejean-Jones/Summary/9301,2.6,2.6,16.7,22.1,5.9,Sweet-Shooting Bucket Getters,77,210
31,Zabian Dowdell,/player/Zabian-Dowdell/Summary/1767,0.8,5.4,14.8,17.6,3.1,Facilitators,75,191
32,Chasson Randle,/player/Chasson-Randle/Summary/24199,2.9,4.2,17.6,22.8,3.9,Sweet-Shooting Bucket Getters,74,185
33,Malcolm Thomas,/player/Malcolm-Thomas/Summary/2560,0.6,2.2,11.3,16.6,11,Inside Scoring Bigs ,81,225
34,Kevin Jones,/player/Kevin-Jones/Summary/2370,0.1,0.9,17.1,20.4,9.8,Inside Scoring Bigs ,80,260
35,Sean Williams,/player/Sean-Williams/Summary/46,0.1,1.3,11.2,15.2,10.2,Inside Scoring Bigs ,82,235
36,Mike Harris,/player/Mike-Harris/Summary/180,0.6,1.9,18.6,27.5,10.6,High Usage Scoring Bigs,78,242
37,Dexter Pittman,/player/Dexter-Pittman/Summary/4141,0,1,14.1,19,11.6,Inside Scoring Bigs ,83,285
38,Axel Toupane,/player/Axel-Toupane/Summary/25855,1.3,4.5,13.3,19.4,6,Swiss Army Knives,79,210
39,Walker Russell,/player/Walker-Russell/Summary/1967,0.8,8,12.3,15,3.4,Facilitators,72,175
40,Briante Weber,/player/Briante-Weber/Summary/31267,1.1,6.4,12.7,15,7,Facilitators,74,165
41,Toure' Murry,/player/Toure-Murry/Summary/7565,1.2,5.4,11.8,13.6,5,Facilitators,77,200
42,Melvin Ely,/player/Melvin-Ely/Summary/430,0,1.4,12.1,17.4,7.8,Inside Scoring Bigs ,82,261
