Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Jared Sam,1629375,FWN,23,5,9.9,0.0,7.1,0.7,9.2,50.7,4.3,0.429,0.0,0.0,0.7,0.7,1.0,0.0,2.1,0.7
Jared Terrell,1629123,IWA,23,11,15.8,1.4,3.2,3.1,16.1,372.53333333333336,6.0,0.378,5.7,0.237,2.8,3.1,0.906,1.4,1.9,0.3
Jarnell Stokes,203950,SXF,24,1,9.0,0.0,24.6,6.7,11.2,16.083333333333332,4.5,0.5,2.2,0.0,2.2,9.0,0.25,9.0,0.0,2.2
Jaron Blossomgame,1628417,CTN,25,13,16.7,1.2,8.2,2.6,22.4,407.68333333333334,8.6,0.513,3.4,0.368,4.1,5.5,0.742,2.5,0.4,1.1
Jarvis Varnado,202363,MHU,30,6,7.2,0.0,9.6,0.0,12.0,45.056666666666665,3.2,0.444,0.0,0.0,5.6,8.8,0.636,5.6,0.0,2.4
Jawun Evans,1628393,NAS,22,15,17.6,0.9,4.9,5.8,21.8,461.4216666666667,8.1,0.46,2.6,0.333,4.7,6.1,0.769,3.7,2.4,0.5
Jay Wright,1628547,LAK,24,10,9.6,0.0,2.7,3.8,8.9,93.52333333333333,3.1,0.32,1.9,0.0,2.7,3.5,0.778,2.7,0.8,0.0
Jaylen Adams,1629121,ERI,22,10,16.6,3.6,5.1,5.9,19.2,322.72,6.5,0.389,10.2,0.352,2.7,4.0,0.667,3.3,2.6,0.4
Jaylen Barford,1628965,GBO,22,14,21.6,3.3,4.8,2.0,26.6,335.525,10.4,0.483,7.8,0.425,2.5,3.2,0.767,2.9,1.6,0.1
Jaylen Morris,1628537,WIS,23,6,11.7,0.7,5.1,2.1,13.5,202.83,6.0,0.515,3.5,0.2,0.7,1.4,0.5,0.9,1.2,0.9
Je'Lon Hornbeak,1628599,FWN,24,5,6.9,2.7,3.0,5.3,10.3,94.56333333333333,3.4,0.5,4.6,0.583,0.8,1.5,0.5,1.1,0.8,0.4
Jeff Ledbetter,1626586,AUS,30,14,15.5,4.0,4.4,5.7,20.3,354.6483333333333,6.2,0.399,11.9,0.333,4.0,4.1,0.975,3.6,1.5,0.2
Jeff Roberson,1629166,MNE,22,14,7.9,1.3,6.6,2.2,7.5,394.655,2.7,0.345,3.9,0.326,0.7,0.8,0.889,1.6,0.6,0.3
Jemerrio Jones,1629203,SBL,23,16,9.4,0.4,13.6,4.8,10.4,438.03333333333336,4.7,0.5,1.9,0.217,0.7,1.4,0.471,2.5,2.5,2.0
Jeremiah Hill,1628611,LAK,23,8,13.7,2.7,3.4,6.3,13.7,149.28166666666667,5.3,0.386,8.2,0.324,0.5,0.5,1.0,1.2,1.7,0.5
Jeremy Hollowell,1628526,ERI,24,12,14.6,2.4,8.5,2.3,17.9,265.9866666666667,6.6,0.454,6.2,0.391,2.2,2.4,0.889,3.0,0.7,1.2
